,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
count,8122.0,8122.0,8122.0,8122.0,8122.0,8122.0,8122.0,8122.0,8122.0,8122.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0
mean,19.206,21.648,1717543922.778,25.86,78.548,9.048,14.566,175.641,1012.433,29.896,0.159,0.006,59.11,37.376,27.679,81.814,9.847,5.839,5.297,13.831,22.262,515.299,62.111,9.582,6.731,17.378,32.05,1.374,1.818,60.074
std,24.527,65.665,1038314.085,7.193,12.947,21.156,34.049,100.266,5.781,0.171,0.66,0.026,24.12,31.844,8.682,15.626,2.26,1.395,2.604,21.631,34.813,1593.438,42.411,23.628,16.699,61.218,81.636,0.815,1.896,34.174
min,-41.3,-175.2,1715849100.0,-3.7,25.3,2.2,3.6,1.0,978.0,28.89,0.0,0.0,3.0,0.0,-4.9,23.1,0.0,0.0,1.0,2.2,3.6,-9999.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0
25%,3.48,-6.84,1716645600.0,21.825,71.325,4.3,6.8,91.0,1009.0,29.8,0.0,0.0,41.0,2.0,21.9,71.3,10.0,6.0,4.0,8.5,13.6,190.3,28.6,0.5,0.4,2.0,3.6,1.0,1.0,29.0
50%,17.25,23.24,1717510500.0,26.3,79.4,8.1,13.0,170.0,1012.0,29.89,0.0,0.0,63.0,25.0,27.8,82.0,10.0,6.0,6.0,12.5,20.2,227.0,57.9,1.8,1.3,4.9,9.0,1.0,1.0,67.0
75%,41.32,49.88,1718460000.0,30.0,86.0,11.9,19.1,260.0,1016.0,30.0,0.04,0.0,79.0,75.0,33.7,92.6,10.0,6.0,7.0,17.5,28.2,357.2,90.8,6.3,4.6,15.0,29.6,1.0,2.0,93.0
max,64.15,179.22,1719321300.0,49.2,120.6,1841.2,2963.2,360.0,1045.0,30.86,19.2,0.76,100.0,100.0,51.2,124.2,24.0,14.0,11.0,1845.7,2970.4,38879.398,457.8,427.7,223.2,1614.1,1814.4,6.0,10.0,100.0
